Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
15/04/2024,Compra com Cartão,14/04 10:39 MP*GARRAFA,238376,-R$ 10,saída 
15/04/2024,Pix - Enviado,15/04 11:31 Tricia Joias,41501,-R$ 20,saída 
15/04/2024,Pix - Enviado,15/04 23:06 Claro,41502,-R$ 281,saída 
16/04/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,41601,-R$ 2.705,saída 
16/04/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,41601,-R$ 2.705,saída 
17/04/2024,Pix - Enviado,17/04 11:38 Jussara Batista,41701,-R$ 20,saída 
17/04/2024,Pix - Enviado,17/04 11:38 Jussara Batista,41701,-R$ 20,saída 
19/04/2024,Compra com Cartão,19/04 15:09 MIL PARK,154578,-R$ 2,saída 
19/04/2024,Compra com Cartão,19/04 15:09 MIL PARK,154578,-R$ 2,saída 
22/04/2024,Pagamento de Impostos,ARRECADACAO GOV SERGIPE,42201,-R$ 170,saída 
22/04/2024,Pagamento de Impostos,ARRECADACAO GOV SERGIPE,42201,-R$ 170,saída 
23/04/2024,Compra com Cartão,23/04 10:29 MERCANTIL RODRIGU,137751,-R$ 5,saída 
23/04/2024,Compra com Cartão,23/04 10:29 MERCANTIL RODRIGU,137751,-R$ 5,saída 
01/05/2024,moradia,salário,,R$ 5.884,entrada
02/05/2024,Transferência recebida,02/05 12:32 FERNANDO LUCAS O FARIAS,603546000125662,R$ 321,entrada
02/05/2024,Cobrança de Juros,,511058916,R$ 0,saída 
02/05/2024,Cobrança de I.O.F.,,391100701,R$ 0,saída 
03/05/2024,Pix - Enviado,03/05 08:21 Happy Market Comercio Ltda,50301,-R$ 7,saída 
06/05/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 76,saída 
07/05/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,50701,-R$ 344,saída 
07/05/2024,Pix - Enviado,07/05 22:04 Energisa Sergipe - Distrib,50702,-R$ 444,saída 
13/05/2024,Transferência recebida,13/05 07:58 VICTOR CESAR SANTOS MELO,603545400015303,R$ 3.769,entrada
13/05/2024,Pix - Recebido,13/05 22:05 05419502585 Diocleciano Si,156487092433311,R$ 135,entrada
13/05/2024,Pagto cartão crédito,,450354500320000,-R$ 4.382,saída 
13/05/2024,Pix - Enviado,13/05 08:59 Geap Autogestao Em Saude,51301,-R$ 236,saída 
15/05/2024,Pix-Recebimento devolvido,15/05 09:18 DIOCLECIANO SILVA SANTOS,51501,-R$ 135,saída 
01/06/2024,moradia,salário,,R$ 5.884,entrada
07/06/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 117,saída 
07/06/2024,Estorno de Débito,DESO CIA SANEAM SERGIPE,46819,R$ 117,entrada
